name,id,url,review_count,rating,price,phone,Address,Address_2,City,Zip_Code
Miller Creek Cafe,NRMMRGNEWfcpp3h9-zn0Wg,https://www.yelp.com/biz/miller-creek-cafe-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,65,4.5,$,+14062513656,4915 Lower Miller Creek Rd,,Missoula,59803
Hunter Bay Coffee,xsNcKe_2G-H_LihvC0M0MA,https://www.yelp.com/biz/hunter-bay-coffee-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,5,4.0,,+14069261116,812 Toole Ave,,Missoula,59802
The Old Post,XPoMEnRnDSGyjHal28oUBw,https://www.yelp.com/biz/the-old-post-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,89,3.5,$$,,103 W Spruce St,,Missoula,59802
Vietnam Noodle Restaurant,YwDW3meaJyM6JT_G49i41Q,https://www.yelp.com/biz/vietnam-noodle-restaurant-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,91,3.5,$,+14065428299,2100 Stephens Ave,Ste 103,Missoula,59801
Liquid Planet Grille,SQPQEH-i62QvbRv2A27s-A,https://www.yelp.com/biz/liquid-planet-grille-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,37,4.0,$,+14065404209,1025 Arthur Ave,,Missoula,59801
Montana Jack's,UI2EN1Bz_6efoeh0WydsWQ,https://www.yelp.com/biz/montana-jacks-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,15,3.5,$,+14065413939,2021 South Ave W,,Missoula,59801
Mmmm...Waffles,hAjtbUyC3ph6zK_bHTto_A,https://www.yelp.com/biz/mmmm-waffles-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,7,4.5,,,Clark Fork River Farmers Market,,Missoula,59801
Outback Steakhouse,tL_GVWv5hWxlh9WC4F63Ww,https://www.yelp.com/biz/outback-steakhouse-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,58,3.5,$$,+14063276900,2415 N Reserve,,Missoula,59808
Black Cat Bake Shop,MQSRmV2mfhYac54e-1S5uQ,https://www.yelp.com/biz/black-cat-bake-shop-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,90,4.0,$,+14065429043,2000 W Broadway Ave,,Missoula,59808
Fiesta En Jalisco,teZcMMuk5A2uGI1d61_OFw,https://www.yelp.com/biz/fiesta-en-jalisco-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,58,3.5,$$,+14065437775,4880 N Reserve St,,Missoula,59808
Five On Black,HUt-HMiJLxzGbJU_6X7fXQ,https://www.yelp.com/biz/five-on-black-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,44,4.0,$,+14069261305,3850 S Reserve St,Ste 140,Missoula,59801
Frugals,IvlnnI0ntjBsk_EyRyBdCw,https://www.yelp.com/biz/frugals-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,32,3.0,,+14068303131,2515 Brooks St,,Missoula,59801
Clyde Coffee,ekY7YfPr2jjF6vrK9D9RhA,https://www.yelp.com/biz/clyde-coffee-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,71,4.5,$,+14065404481,741 S Higgins,Unit A,Missoula,59801
Laughing Grizzly Bar & Grill - Casino,Ymy_H-EPNegP3ibWmc7mVA,https://www.yelp.com/biz/laughing-grizzly-bar-and-grill-casino-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,99,3.0,$$,+14069263375,2300 W Broadway,,Missoula,59808
sushi palace in southgate mall,8LYB_cE_TG1RTFsrFBwJ1g,https://www.yelp.com/biz/sushi-palace-in-southgate-mall-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,13,4.5,,+14068302105,2901 Brooks St,Ste C-2,Missoula,59801
Romeo's Italian Kitchen,HHCFokAAc7Kmkm8-9nl8_A,https://www.yelp.com/biz/romeos-italian-kitchen-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,48,3.0,$$,+14067211500,919 SW Higgins Ave,,Missoula,59803
HuHot Mongolian Grill,23Bm0rfGRAUNy4EIsa8ktQ,https://www.yelp.com/biz/huhot-mongolian-grill-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,89,3.5,$$,+14068298888,3521 Brooks St,,Missoula,59801
Sushi Hana Downtown,w7HZv1Xd_KcvkSdnyP17rw,https://www.yelp.com/biz/sushi-hana-downtown-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,97,3.0,$$,+14065497979,403 N Higgins Ave,,Missoula,59802
Famous Dave's Bar-B-Que,48HlQsk0F6vD24htxne_Ug,https://www.yelp.com/biz/famous-daves-bar-b-que-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,98,3.5,$$,+14065417427,2915 N Reserve St,,Missoula,59808
Doc's Gourmet Sandwich Express,JQrMo_n5yHG3EkOaUtXHVA,https://www.yelp.com/biz/docs-gourmet-sandwich-express-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,52,4.0,$,+14065427414,214 N Higgins Ave,,Missoula,59802
Ruby's Cafe,YkhpMQg2T-Uzucu-RCX-Bg,https://www.yelp.com/biz/rubys-cafe-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,56,4.0,$$,+14067289890,2101 Regent St,,Missoula,59801
Noodle Express,FUUIL02XGa6OLwM-Qd66dA,https://www.yelp.com/biz/noodle-express-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,45,3.0,$,+14065417333,2000 W Broadway,,Missoula,59808
El Cazadore,2gBEn7cOlo4wtpfDmUW6dQ,https://www.yelp.com/biz/el-cazadore-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,1,3.0,,+14064931656,2221 S Ave W,,Missoula,59801
Cafe Rio Mexican Grill,tDULREWifrMBgx2HVma0Bg,https://www.yelp.com/biz/cafe-rio-mexican-grill-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,78,3.5,$$,+14068295190,2230 N Reserve St,Ste 100,Missoula,59808
Hardtail Cafe,balBoiiuj_Q95zqG6Bn83w,https://www.yelp.com/biz/hardtail-cafe-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,6,5.0,,+14068303182,5074 East Harrier Dr,,Missoula,59808
Freddy's Frozen Custard & Steakburgers,q-10xkid1ZQI2B0-m0GK9g,https://www.yelp.com/biz/freddys-frozen-custard-and-steakburgers-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,64,3.5,$,+14069261040,4855 N Reserve St,,Missoula,59808
Zoo  Thai,KYmekmaw5D0PkuEywJNwBg,https://www.yelp.com/biz/zoo-thai-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,2,4.5,,,125 N Pattee St,Ste F,Missoula,59802
Jakers Bar and Grill,LSdPCHQ6srHfduOYnoR8iA,https://www.yelp.com/biz/jakers-bar-and-grill-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,124,3.5,$$,+14067211312,3515 Brooks St,,Missoula,59801
Worden's Market Deli,P5RsSe4f0BOVZ095Ja08Sw,https://www.yelp.com/biz/wordens-market-deli-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,66,4.0,$,+14065491293,451 N Higgins Ave,,Missoula,59802
"Bridge Pizza, Brooks Street Missoula",BUAN-wZvnewAbfAZKSgSeg,https://www.yelp.com/biz/bridge-pizza-brooks-street-missoula-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,14,4.0,,+14065521313,3000 Brooks St,,Missoula,59801
The Ranch Club,2RvyBFMo-LRLnjQsDjWRKQ,https://www.yelp.com/biz/the-ranch-club-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,14,3.5,$$,+14065321000,8501 Ranch Club Rd,,Missoula,59808
Good Food Store,UUhBDyrhxrrPi1ggxqDTAQ,https://www.yelp.com/biz/good-food-store-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,169,4.0,$$,+14065413663,1600 S 3rd St W,,Missoula,59801
The Montana Club Restaurant,DlLPZjM4CdJop5L_rYZy1w,https://www.yelp.com/biz/the-montana-club-restaurant-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,99,3.0,$$,+14065433200,2620 Brooks St,,Missoula,59801
Cracker Barrel Old Country Store,zZ0Jtg8pOANdNaHqjvW0og,https://www.yelp.com/biz/cracker-barrel-old-country-store-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,109,3.5,$$,+14067219820,2929 Expo Pkwy,,Missoula,59808
The Oxford Saloon,og5p84WuLZWN46ficYfqcw,https://www.yelp.com/biz/the-oxford-saloon-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,68,3.5,$,+14065490117,337 N Higgins Ave,,Missoula,59802
4Bs,mthXUErBlsh-h8ncS816dA,https://www.yelp.com/biz/4bs-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,28,3.0,$$,+14069262364,700 E Broadway St,,Missoula,59802
Ducrey Chocolate Maker,RfZ_E4RcQRhkJDqNsq3Waw,https://www.yelp.com/biz/ducrey-chocolate-maker-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,9,4.5,,+14062187396,311 E Front St,,Missoula,59802
Panda Express,e3VoOehuOytDagCCSprFCA,https://www.yelp.com/biz/panda-express-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,44,2.0,$,+14065418799,3918 N. Reserve,,Missoula,59803
China Buffet,V7iE1XD43kMbJYQFLqeTZQ,https://www.yelp.com/biz/china-buffet-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,58,3.0,$$,+14068298881,1900 Brooks St,,Missoula,59801
Mustard Seed,88wQxRFcqAeLs6zIITwJ8g,https://www.yelp.com/biz/mustard-seed-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,136,3.0,$$,+14065427333,2901 Brooks St,,Missoula,59801
Wheat Montana,0kHAVc_LPl3r5oYrZl5d7g,https://www.yelp.com/biz/wheat-montana-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,51,3.5,$,+14063270900,2520 S 3rd St W,,Missoula,59804
Hoagieville,AkloSXSLPRG5I1WKZrg4Rg,https://www.yelp.com/biz/hoagieville-missoula-6?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,23,3.5,$,+14065418031,2405 N Reserve St,,Missoula,59808
Hoagieville Xpress,grQXvMV-AboMMqBtFieZ-g,https://www.yelp.com/biz/hoagieville-xpress-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,2,5.0,,,744 E Broadway St,,Missoula,59802
Panera Bread,zAzQM1oodCMoSRAeTgzxUw,https://www.yelp.com/biz/panera-bread-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,21,2.5,,+14062035636,2410 N Reserve St,,Missoula,59808
Carlascio's Pizzeria,eYVny4FOIg1Q_90jffrhYA,https://www.yelp.com/biz/carlascios-pizzeria-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,4,4.5,,+14068303720,2901 Brooks St,,Missoula,59801
Fiesta En Jalisco,Z9UzkzA9G7NwDYSBzKXwJw,https://www.yelp.com/biz/fiesta-en-jalisco-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,59,3.5,$$,+14067281323,3701 Brooks St,Ste A,Missoula,59801
Taco Bell,rKOSc4dNbdydLiBv06w8kw,https://www.yelp.com/biz/taco-bell-missoula-3?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,15,4.0,$,+14067213739,2320 North Reserve,,Missoula,59808
Press Box,SJBWRCU0h7ScqF1bc0fl4A,https://www.yelp.com/biz/press-box-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,46,2.5,$$,+14067211212,835 E Broadway St,,Missoula,59802
Chipotle Mexican Grill,KB948Ai3UkS9chOkIz-ZlQ,https://www.yelp.com/biz/chipotle-mexican-grill-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,38,3.0,$,+14065498030,2995 N Reserve St,Ste A&B,Missoula,59808
Missoula Fresh Market,gY7-O8SJmDTIlHkmcss5aw,https://www.yelp.com/biz/missoula-fresh-market-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,25,2.5,$$,+14067212549,800 W Broadway St,,Missoula,59802
Desperado Sports Tavern,2xYPZJwrzZ94D_kHvNbqEg,https://www.yelp.com/biz/desperado-sports-tavern-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,42,3.5,$,+14065499651,3101 S Russell St,,Missoula,59801
Marvin's Bar & Grill,PL4zwq1WNfiZ7yVGp-C3_w,https://www.yelp.com/biz/marvins-bar-and-grill-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,13,4.0,$,+14065494368,7995 US Hwy 10 W,,Missoula,59808
Five Guys,L37iGSxk8-1g25npnINU2w,https://www.yelp.com/biz/five-guys-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,59,3.5,$,+14068303262,820 E Broadway,,Missoula,59801
MacKenzie River Pizza Co.,M3Ys-a2xsc9VK_srgAB_Ow,https://www.yelp.com/biz/mackenzie-river-pizza-co-missoula-4?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,30,3.5,$$,+14062513424,3820 S Reserve St,,Missoula,59801
Great Harvest Bread,8QSCLMVk7ocg2fLWou8nwg,https://www.yelp.com/biz/great-harvest-bread-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,17,4.0,$,+14067284549,1407 S Higgins Ave,,Missoula,59801
Buffalo Wild Wings,rpSfojlyEHg8GGuZAn003w,https://www.yelp.com/biz/buffalo-wild-wings-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,57,3.0,$$,+14068299464,2615 Radio Way,,Missoula,59808
River Wok Grill,1dB25hhzyYw-r2v7STd6rg,https://www.yelp.com/biz/river-wok-grill-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,26,2.5,$,+14067212673,624 East Broadway St,,Missoula,59802
Claim Jumper Casino Lounge and Restaurant,8OnDfGEUv0-D6Z39MBjvIQ,https://www.yelp.com/biz/claim-jumper-casino-lounge-and-restaurant-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,5,4.0,$,+14067280074,3021 Brooks St,,Missoula,59801
Staggering Ox Sandwiches,QoS-xlxPMLYBuCz5vvz26A,https://www.yelp.com/biz/staggering-ox-sandwiches-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,77,3.0,$,+14065422206,1220 SW Higgins Ave,,Missoula,59803
Paradise Falls,UpPn1lD_SLky1X46XK1XKA,https://www.yelp.com/biz/paradise-falls-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,55,3.0,$$,+14067283228,3621 Brooks St,,Missoula,59801
Taco del Sol,ac7hD4W2Sv7GE2LtJT_liQ,https://www.yelp.com/biz/taco-del-sol-missoula-5?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,4,4.5,,,2730 S Reserve St,,Missoula,59801
Hog Heaven Espresso,0HqXEbPcoLZOA_QsWy8qTQ,https://www.yelp.com/biz/hog-heaven-espresso-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,2,4.5,,+14062415180,5601 E. Harrier Dr.,,Missoula,59808
Taco del Sol,pE-s_NBEnJyEBf60WZhS_A,https://www.yelp.com/biz/taco-del-sol-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,57,3.5,$,+14063278929,422 N Higgins Ave,,Missoula,59802
Lighthouse Espresso,8cNO1UgWGPVxo7l7eVE5bg,https://www.yelp.com/biz/lighthouse-espresso-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,13,4.0,$,+14065418282,1925 Sherwood St,,Missoula,59808
Wheat Montana,kP6_EvLPFhldJBR887Fwbg,https://www.yelp.com/biz/wheat-montana-missoula-3?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,36,3.5,$,+14067288182,8800 Truck Stop Rd,,Missoula,59808
The Greek Pastry Shop - #1 Gyros,o25aHuhm4i0QDlnrANEBbQ,https://www.yelp.com/biz/the-greek-pastry-shop-1-gyros-missoula-6?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,5,4.0,,+14065404343,2901 Brooks St,,Missoula,59801
Acropolis Gyros & Greek Specialties,-o5kPNvQoVqKakB4CeCccQ,https://www.yelp.com/biz/acropolis-gyros-and-greek-specialties-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,13,4.0,$,+14067215041,117 South Ave W,,Missoula,59801
Jimmy John's,6HmCb8dy_X1ShYWF4zuq4g,https://www.yelp.com/biz/jimmy-johns-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,15,3.0,$,+14065421100,420 N Higgins Ave,,Missoula,59802
Liquid Planet Grille,j3DpxH0U8-n4CCS23ycpeg,https://www.yelp.com/biz/liquid-planet-grille-missoula-3?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,4,5.0,,+14065292171,100 Consumer Direct Way,,Missoula,59808
MOD Pizza,z9fVtuvI9ld4Zcx_3Sr8_g,https://www.yelp.com/biz/mod-pizza-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,39,3.5,$,+14069262770,2775 N Reserve St,,Missoula,59808
Red Robin Gourmet Burgers and Brews,KM2lVQFN8LZxdKyRK6wJyg,https://www.yelp.com/biz/red-robin-gourmet-burgers-and-brews-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,52,3.0,$$,+14068303170,2901 Brooks St,,Missoula,59801
Jim Johnson Deli,jIUvTgKrUvKEZVdf77R2Rg,https://www.yelp.com/biz/jim-johnson-deli-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,1,5.0,,,225 Kensington Ave,,Missoula,59801
Applebee's Grill + Bar,za7EvBuCKrMuC0NfUwWX9g,https://www.yelp.com/biz/applebees-grill-bar-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,32,2.0,$$,+14062514020,4041 Highway 93 S,,Missoula,59801
Howard's Pizza Villa,tvs6GEPmDrv6mphUcilf6Q,https://www.yelp.com/biz/howards-pizza-villa-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,41,4.0,$,+14067212011,2010 South Ave W,,Missoula,59801
Sunrise Saloon And Casino,ERprPAFzLy9Kr3GWl8_J6A,https://www.yelp.com/biz/sunrise-saloon-and-casino-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,9,3.0,$,+14067281559,1101 Strand Ave,,Missoula,59801
Taco Del Sol,afhRUV9PCkO7TwTuW-6PGg,https://www.yelp.com/biz/taco-del-sol-missoula-4?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,22,3.5,$,+14065432907,1116 W Cental Ave,,Missoula,59801
